cluster,names,scores,logfoldchanges,pvals,pvals_adj
12,PRKAR2B,20.489944,8.709295,2.646957365346538e-93,2.3354219919555344e-90
12,TLN1,20.430862,4.306632,8.891745851427274e-93,7.518341606792237e-90
12,TREML1,20.332611,10.900946,6.618565608954311e-92,5.16579045778884e-89
13,S100A9,13.5493355,4.0275054,7.995099909984718e-42,1.6224456247331988e-37
13,S100A8,12.807477,3.5967267,1.488970871012716e-37,1.068025195778106e-33
13,CD36,12.802925,2.013335,1.5789068089165316e-37,1.068025195778106e-33
13,CEBPD,12.745611,2.0184839,3.297958132688483e-37,1.6731366096661845e-33
13,S100A12,12.721513,2.6662169,4.490788409137026e-37,1.8226313837323533e-33
13,CD14,12.64775,2.1749988,1.1512504515229555e-36,3.8937209021258896e-33
13,VCAN,12.515277,2.6240125,6.159270848127315e-36,1.7855726188721087e-32
13,AC020656.1,12.408699,2.0285218,2.344314502718865e-35,5.946646775459241e-32
13,CSF3R,12.253062,1.867012,1.6176923645381336e-34,3.6475367948413718e-31
13,PLBD1,12.206141,1.7949977,2.8823886449849772e-34,5.849231277268014e-31
13,KCTD12,12.115029,1.7566602,8.793240055708782e-34,1.6221929131863482e-30
13,KLF4,11.873223,1.8568962,1.6306253280215284e-32,2.5539179910992966e-29
13,GRN,11.872944,1.934683,1.6360781493269034e-32,2.5539179910992966e-29
13,TNFSF13B,11.82516,1.6794196,2.8935036194667997e-32,4.1941334964171265e-29
13,FPR1,11.701975,1.7062773,1.2452198329175265e-31,1.6846164046263578e-28
13,FCN1,11.692153,2.6693397,1.3979695143826886e-31,1.7042040359499878e-28
13,NRGN,11.690369,1.5035185,1.4276582373798745e-31,1.7042040359499878e-28
13,CLEC7A,11.679552,1.7640942,1.6214850954108714e-31,1.8280442800651561e-28
13,CD93,11.665493,1.644065,1.9129087765099363e-31,1.9916935630781102e-28
13,MNDA,11.663296,2.375512,1.9629365427271575e-31,1.9916935630781102e-28
13,LGALS2,11.630603,1.7850717,2.8805640122626004e-31,2.7166651780225095e-28
13,MS4A6A,11.628709,2.0906067,2.945184739392658e-31,2.7166651780225095e-28
13,ALDH2,11.619774,1.65281,3.2700106481220473e-31,2.885144612275683e-28
13,CYBB,11.581738,1.860849,5.100095633776192e-31,4.312343362342511e-28
13,APLP2,11.552408,1.7346234,7.1780414558643945e-31,5.826559810554247e-28
14,CCL5,23.369772,5.177551,8.676510825701397e-121,1.7607243418595846e-116
14,CST7,22.944866,4.643125,1.6580911047862743e-116,1.6823821394713932e-112
14,NKG7,22.394413,5.2066703,4.461583284286852e-111,3.0179636529344366e-107
14,B2M,21.502193,0.8964582,1.4849971447675574e-102,7.533761764692011e-99
14,GZMM,21.382254,3.4231398,1.9545651526040595e-101,7.932798128358835e-98
14,GZMA,21.33014,4.4384246,5.962904756033464e-101,2.0167537702364515e-97
14,CD8A,20.570835,4.6125684,5.009654507569388e-94,1.4522988417443654e-90
14,KLRG1,20.550077,3.8508327,7.684150099842579e-94,1.9491807247013182e-90
14,HLA-A,20.414888,1.0941926,1.233141005778326e-92,2.7804589366955074e-89
14,HLA-B,20.34572,0.8845593,5.066148300572929e-92,9.842949639819355e-89
14,CTSW,20.343182,3.6530173,5.335457844479028e-92,9.842949639819355e-89
14,HCST,20.142387,2.1985118,3.1383419975171518e-90,5.307197846301297e-87
14,CD3D,20.08668,2.9239378,9.650588641990122e-90,1.506456887014658e-86
14,HLA-C,19.48753,1.064495,1.4007963639214097e-84,2.0304543295040834e-81
14,IL32,18.9778,3.124179,2.602616048751867e-80,3.520992498488109e-77
14,TRGC2,18.703257,4.584251,4.65717542929468e-78,5.906753811667309e-75
14,TRAC,17.684149,2.6529753,5.5552810542109556e-70,6.631371672535465e-67
14,APOBEC3G,17.599733,2.7324462,2.4748589466395025e-69,2.7901284780086344e-66
14,CD3E,17.24583,2.3578408,1.2027300546222343e-66,1.2845789999183686e-63
14,GZMH,16.746359,5.4822354,6.02002106069695e-63,5.552922153851055e-60
14,CD99,16.404505,1.6797124,1.7756783377832662e-60,1.5014100211931594e-57
14,MYL12A,16.384022,1.0161186,2.4873650535373587e-60,2.019043961257345e-57
14,CMC1,16.035934,3.538475,7.169654769669832e-58,5.595915547727304e-55
14,PPP2R5C,16.030624,1.8517603,7.80940509248994e-58,5.86949102007031e-55
14,SAMD3,15.867125,2.9639213,1.0703344465104844e-56,7.757248901084737e-54
15,CTSW,10.957277,1.7853919,6.131636342686988e-28,1.2442929630214705e-23
15,RPS3,10.622511,0.8321507,2.3417550135404314e-26,2.3760617244887987e-22
15,LDHB,10.469738,1.3990434,1.1897137705874874e-25,8.047620515510628e-22
15,NPM1,10.194885,0.9838253,2.0899103625140288e-24,1.0602637746624296e-20
15,RPS4X,10.1173525,0.65682167,4.627655226503439e-24,1.8781801502286856e-20
15,TESPA1,10.073972,1.879448,7.201005576314188e-24,2.435500102669064e-20
15,RPS2,9.76718,0.6143593,1.5572623625387274e-22,4.332796242034043e-19
15,TCF7,9.757807,1.5467948,1.708094906434354e-22,4.332796242034043e-19
15,CD7,9.688122,1.5721,3.3869864275218973e-22,7.169263403028703e-19
15,RPL3,9.683813,0.79554874,3.53287508156936e-22,7.169263403028703e-19
15,GZMM,9.550636,1.5574856,1.2890255623243147e-21,2.3780177942043013e-18
15,RPS6,9.467322,0.7338411,2.871092517718643e-21,4.855256705172036e-18
15,RPS18,9.24102,0.7624383,2.4415789932285234e-20,3.811304808429725e-17
15,RPL5,9.23219,0.6492304,2.6515325345216895e-20,3.843396408789189e-17
15,KLRG1,9.143945,1.7687892,6.021489513618936e-20,7.637130418741817e-17
15,NUCB2,9.058815,1.5016855,1.3187586670309806e-19,1.4085036647399835e-16
15,EEF1A1,8.952485,0.47348556,3.4756847766707853e-19,3.526603558649012e-16
15,SYNE2,8.925319,1.5200194,4.444161235278975e-19,4.294541140357916e-16
15,RPS14,8.769696,0.55848575,1.791494922624875e-18,1.5806437593402862e-15
15,GYPC,8.755165,1.2047906,2.038050313475076e-18,1.7232564588062385e-15
15,IL7R,8.696405,1.7890671,3.4256337122199904e-18,2.57468092304001e-15
15,RPL7A,8.65911,0.5508534,4.754604697197705e-18,3.1875077849114157e-15
15,BCL11B,8.658461,1.4724481,4.7817751424401895e-18,3.1875077849114157e-15
15,RORA,8.656392,1.4863812,4.8693017953113826e-18,3.1875077849114157e-15
15,ITM2A,8.632435,1.4720048,6.0059426456662744e-18,3.808706065890803e-15
16,CD79A,17.648615,3.5024376,1.0428160605754146e-69,2.1161866317256887e-65
16,MS4A1,16.971785,3.377429,1.3283153355839478e-64,1.3477751552502526e-60
