cluster,names,scores,logfoldchanges,pvals,pvals_adj
0,MALAT1,5.153131,1.5759336,2.5617312272526777e-07,0.0022946740820894334
0,CD3G,4.462706,1.6777592,8.09310813062046e-06,0.03036426812569689
0,RPL3,4.440434,1.3866727,8.9777563077998e-06,0.03036426812569689
0,RPS12,4.3095875,1.3733772,1.6355931732838352e-05,0.03851405248206861
0,RPS21,4.274788,1.500119,1.913193515397444e-05,0.03851405248206861
0,CD3E,4.274788,1.547138,1.913193515397444e-05,0.03851405248206861
0,RPS3,4.26226,1.5733727,2.023697787965483e-05,0.03851405248206861
0,JUN,4.2553,1.4047192,2.0876882535985546e-05,0.03851405248206861
0,IL32,4.230244,1.7313912,2.3343760948222775e-05,0.03947624507685707
0,RPL30,4.1898766,1.3995662,2.7910599927783238e-05,0.039656232970324695
0,RPS2,4.178741,1.2907703,2.931274304217565e-05,0.039656232970324695
0,ARGLU1,4.1453333,1.4921863,3.3931989976547005e-05,0.04303636703712927
0,RPL19,4.0924377,1.4082344,4.26861826040491e-05,0.04909523737355485
0,RPL14,4.071558,1.3202167,4.6699734222811924e-05,0.04909523737355485
0,RPL10,4.033974,1.279426,5.484130232087458e-05,0.04909523737355485
0,SYNE2,4.008919,1.6436923,6.099742889649533e-05,0.04909523737355485
0,HSP90AA1,3.989431,1.1446815,6.623202914015872e-05,0.04909523737355485
0,RAC2,3.9782948,1.2525725,6.941123614300835e-05,0.04909523737355485
0,C1orf56,3.964375,1.5628656,7.35884672287762e-05,0.04909523737355485
0,RPS15,3.961591,1.4074897,7.445195940811796e-05,0.04909523737355485
0,FUS,3.9504552,1.1275135,7.800268767071348e-05,0.04909523737355485
0,RPSA,3.9253995,1.4290916,8.658591865260479e-05,0.051679060212273795
0,RPS27,3.7722812,1.3101715,0.0001617618841919443,0.08833376360224901
0,RPS15A,3.7667131,1.3521396,0.00016541088143130452,0.08833376360224901
0,RPS27A,3.7388735,1.0505345,0.00018484676901091548,0.09149013374484165
1,LIMS1,8.30328,5.3734164,1.0127597742767875e-16,2.0551934099398847e-12
1,CTSA,8.142636,5.3155985,3.867638518979871e-16,3.924299423282926e-12
1,RGS10,8.008766,5.01269,1.1586507190923265e-15,7.83749968084686e-12
1,GSTO1,7.754413,5.204263,8.87528554206115e-15,4.502654237626173e-11
1,MTURN,7.6573577,7.828786,1.897976051850381e-14,7.703125604039956e-11
1,TUBA4A,7.632257,5.4281163,2.3067899379977384e-14,7.801948035298019e-11
1,H3F3A,7.5904226,3.3092625,3.18863668091468e-14,7.971532495013509e-11
1,GPX4,7.577036,3.5268595,3.5353960703258064e-14,7.971532495013509e-11
1,HIST1H2AC,7.543568,7.5447354,4.5728352547616276e-14,9.279654582487771e-11
